,date,hits,keyword,geo,time,gprop,category
1,11/1/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
2,11/2/2017,35,Bitcoin,BT,2017-11-01 2017-11-30,web,0
3,11/3/2017,100,Bitcoin,BT,2017-11-01 2017-11-30,web,0
4,11/4/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
5,11/5/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
6,11/6/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
7,11/7/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
8,11/8/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
9,11/9/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
10,11/10/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
11,11/11/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
12,11/12/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
13,11/13/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
14,11/14/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
15,11/15/2017,52,Bitcoin,BT,2017-11-01 2017-11-30,web,0
16,11/16/2017,50,Bitcoin,BT,2017-11-01 2017-11-30,web,0
17,11/17/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
18,11/18/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
19,11/19/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
20,11/20/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
21,11/21/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
22,11/22/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
23,11/23/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
24,11/24/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
25,11/25/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
26,11/26/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
27,11/27/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
28,11/28/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
29,11/29/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
30,11/30/2017,0,Bitcoin,BT,2017-11-01 2017-11-30,web,0
31,3/1/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
32,3/2/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
33,3/3/2021,100,Bitcoin,BT,2021-03-01 2021-03-31,web,0
34,3/4/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
35,3/5/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
36,3/6/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
37,3/7/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
38,3/8/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
39,3/9/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
40,3/10/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
41,3/11/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
42,3/12/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
43,3/13/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
44,3/14/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
45,3/15/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
46,3/16/2021,46,Bitcoin,BT,2021-03-01 2021-03-31,web,0
47,3/17/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
48,3/18/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
49,3/19/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
50,3/20/2021,69,Bitcoin,BT,2021-03-01 2021-03-31,web,0
51,3/21/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
52,3/22/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
53,3/23/2021,44,Bitcoin,BT,2021-03-01 2021-03-31,web,0
54,3/24/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
55,3/25/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
56,3/26/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
57,3/27/2021,56,Bitcoin,BT,2021-03-01 2021-03-31,web,0
58,3/28/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
59,3/29/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
60,3/30/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
61,3/31/2021,0,Bitcoin,BT,2021-03-01 2021-03-31,web,0
62,4/1/2021,28,Bitcoin,BT,2021-04-01 2021-04-30,web,0
63,4/2/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
64,4/3/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
65,4/4/2021,33,Bitcoin,BT,2021-04-01 2021-04-30,web,0
66,4/5/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
67,4/6/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
68,4/7/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
69,4/8/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
70,4/9/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
71,4/10/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
72,4/11/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
73,4/12/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
74,4/13/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
75,4/14/2021,36,Bitcoin,BT,2021-04-01 2021-04-30,web,0
76,4/15/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
77,4/16/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
78,4/17/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
79,4/18/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
80,4/19/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
81,4/20/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
82,4/21/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
83,4/22/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
84,4/23/2021,100,Bitcoin,BT,2021-04-01 2021-04-30,web,0
85,4/24/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
86,4/25/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
87,4/26/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
88,4/27/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
89,4/28/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
90,4/29/2021,49,Bitcoin,BT,2021-04-01 2021-04-30,web,0
91,4/30/2021,0,Bitcoin,BT,2021-04-01 2021-04-30,web,0
92,5/1/2021,40,Bitcoin,BT,2021-05-01 2021-05-31,web,0
93,5/2/2021,45,Bitcoin,BT,2021-05-01 2021-05-31,web,0
94,5/3/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
95,5/4/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
96,5/5/2021,77,Bitcoin,BT,2021-05-01 2021-05-31,web,0
97,5/6/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
98,5/7/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
99,5/8/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
100,5/9/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
101,5/10/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
102,5/11/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
103,5/12/2021,55,Bitcoin,BT,2021-05-01 2021-05-31,web,0
104,5/13/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
105,5/14/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
106,5/15/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
107,5/16/2021,0,Bitcoin,BT,2021-05-01 2021-05-31,web,0
